               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,               0.018,             0.01091,           0.0035471,             0.95174,             0.99145,             0.98112,              0.7876,            0.010426,           0.0058426,          5.4534e-05,           0.0019758,           0.0019758,           0.0019758
                  79,            0.018877,            0.011588,           0.0023338,             0.95291,             0.98483,             0.98207,             0.78405,            0.010335,            0.005825,          5.3048e-05,           0.0018716,           0.0018716,           0.0018716
                  80,            0.018943,            0.011309,           0.0035186,             0.94474,             0.99859,             0.98362,             0.78242,            0.010538,           0.0058167,          4.8563e-05,           0.0017674,           0.0017674,           0.0017674
                  81,            0.018693,            0.011443,           0.0034797,             0.96539,             0.98291,             0.98414,             0.79261,            0.010293,           0.0057635,          4.5746e-05,           0.0016632,           0.0016632,           0.0016632
                  82,            0.018121,            0.011219,           0.0031889,             0.96545,             0.98718,             0.98426,             0.79237,            0.010372,           0.0057659,          4.5825e-05,           0.0015589,           0.0015589,           0.0015589
                  83,             0.01717,            0.010683,           0.0023892,             0.96799,             0.99145,             0.98411,             0.79491,            0.010422,           0.0057891,          4.5452e-05,           0.0014547,           0.0014547,           0.0014547
                  84,            0.017557,            0.011674,           0.0019489,             0.96619,              0.9864,             0.98375,             0.79095,            0.010359,            0.005787,          4.7308e-05,           0.0013505,           0.0013505,           0.0013505
                  85,            0.016327,            0.011284,           0.0028713,              0.9565,             0.99573,             0.98206,              0.7905,             0.01029,           0.0057725,          4.7232e-05,           0.0012463,           0.0012463,           0.0012463
                  86,            0.018718,            0.011684,           0.0029745,             0.95764,             0.99387,             0.98154,             0.79206,            0.010351,           0.0057432,          4.8975e-05,           0.0011421,           0.0011421,           0.0011421
                  87,            0.018813,            0.010892,           0.0036006,             0.95248,             0.99573,             0.98283,             0.79528,            0.010193,           0.0057184,          4.9483e-05,           0.0010379,           0.0010379,           0.0010379
                  88,            0.017839,            0.011472,           0.0018664,             0.95682,             0.99468,             0.98345,             0.79196,            0.010275,             0.00574,          4.8236e-05,          0.00093368,          0.00093368,          0.00093368
                  89,            0.019432,            0.011018,           0.0035285,             0.95608,             0.99296,             0.98317,             0.79463,            0.010282,           0.0057098,          4.5851e-05,          0.00082947,          0.00082947,          0.00082947
                  90,            0.017764,            0.011045,           0.0024377,             0.95909,             0.98819,             0.98262,             0.79503,            0.010185,           0.0057062,          4.5348e-05,          0.00072526,          0.00072526,          0.00072526
                  91,            0.016602,            0.010524,           0.0018079,             0.95486,             0.99145,             0.98286,             0.79731,            0.010163,           0.0057023,           4.651e-05,          0.00062105,          0.00062105,          0.00062105
                  92,            0.019208,            0.011619,           0.0030267,             0.95917,             0.98876,              0.9829,             0.79748,            0.010078,           0.0056935,          5.0603e-05,          0.00051684,          0.00051684,          0.00051684
                  93,            0.018169,            0.011074,           0.0021703,             0.96104,             0.98512,             0.98393,             0.79808,            0.010077,           0.0056988,          4.5628e-05,          0.00041263,          0.00041263,          0.00041263
                  94,            0.017696,            0.011426,           0.0024641,             0.96372,             0.98133,             0.98482,             0.79587,            0.010129,           0.0057216,          4.3584e-05,          0.00030842,          0.00030842,          0.00030842
